,CVE_ART,COSTO_TOTAL_CALCULADO,MARGEN_TOTAL_CALCULADO
0,TUE00244,52.8,381.68
1,TUA00028,327.18,936.87
2,TP0007,1243.73,2617.56
3,TP0001,38.96,101.04
4,BP00242,203.42,141.41
5,BP00243,98.82,375.32
6,RP00165,5323.76,8676.24
7,TP0001,116.88,166.62
8,TUE00207,517.89,1097.11
9,TUE00207,517.89,1097.11
10,TUE00207,517.89,1097.11
11,TUE00207,586.32,1028.68
12,TUE00207,586.32,1028.68
13,BO00051,86.22,1399.03
14,BC00023,742.05,1353.2
15,PT00070,397.08,84.17
16,TP0011,248.0,1294.56
17,PJ31C1F1AA00,425.69,-50.69
18,WRE-2133,393.48,3713.02
19,WRE-2774,530.41,5218.69
20,WRE-4885,82.29,1406.76
21,MR01934,443.27,2372.32
22,PT00080,259.35,459.17
23,PT00081,332.65,565.6
24,RP00150,0.72,2999.28
25,TUA00009,3245.66,2298.34
26,TP0011,620.0,1805.0
27,TP0012,264.83,1985.17
28,PT00044,978.77,3032.15
29,BOBINA001,9163.18,29816.42
30,TUE00247,1771.42,3364.8
31,BOBINA001,9163.18,29816.42
32,TUE00320,178.6,422.63
33,PJ31A1F1A400,689.45,815.55
34,PK31A1F1A400,783.24,1376.36
35,RP00172,5.76,376.34
36,RP00173,45.01,440.22
37,BN00232,289.05,655.95
38,CBS00045,2594.17,7789.83
39,MR01934,161.73,776.8
40,TUE00321,4527.42,33632.58
41,TF71E1120A00,915.42,4657.47
42,BO00052,819.14,4231.66
43,TUA00404,3980.31,6643.69
44,TEE00025,197.51,1000.59
45,TUS00049,140.29,662.71
46,TUE00322,363.75,1206.75
47,TUE00323,499.77,731.93
48,TUS00020,194.24,1346.56
49,TUE00328,195.26,1954.74
50,TUS00003,426.47,2228.53
51,BB1 1/2X1/2-300W,220.0,165.0
52,TP0008,211.36,288.64
53,TUE00324,484.95,1186.05
54,TUE00325,471.13,1319.87
55,TUE00326,319.8,944.45
56,TUE00327,313.8,950.45
57,RB00010,178.8,2241.2
58,P7J6C1D1A030,4.02,333.68
59,CS12E2040A00,138.46,977.82
60,CS12E2040A00,138.46,977.82
61,BC00024,1668.42,2567.58
62,BC00025,1343.05,2220.95
63,BP00241,574.91,3403.09
64,TP00016,316.8,674.8
65,TUA00258,2181.22,15238.78
66,BN00236,323.25,687.21
67,BN00237,422.72,3517.68
68,TUA00364,3182.95,7394.17
69,BP00245,102.76,941.24
70,BP00244,291.72,-36.71
71,PK31B1I1A000,2408.67,3103.83
72,BP00051,52.48,312.07
73,TUA00400,139.82,522.18
74,ECQ-00972,8264.95,35994.05
75,TU5/16X230MM,600.9,2398.82
76,TUE00146,3726.73,10773.27
77,BO00054,2162.98,6537.02
78,BO00055,2027.79,6672.21
79,70001693,907.73,2412.27
80,TP0004,771.29,1948.71
81,BE00010,231.15,1820.59
82,BL00011,330.39,2844.11
83,BL00052,771.42,5199.3
84,TUS00086,85.89,480.75
85,TEA00058,1151.56,4026.44
86,TEA00059,1579.75,4759.85
87,TEE00026,292.75,1587.53
88,TP0003,1425.02,1574.98
89,TP0001,38.96,59.04
90,TUA00410,1090.0,1400.75
91,CS14B1010A00,27.08,446.2
92,TUA00350,436.54,1223.06
93,TP0001,38.96,68.8
94,PK18J1F1A400,113.22,385.78
95,RP00176,742.57,1957.43
96,TUS00064,480.08,3086.92
97,TUA00078,1108.78,3196.22
98,CS38E1017A00,134.84,855.16
99,TP0003,71.25,53.75
100,TP0025,75.89,99.11
101,PT00082,2428.6,2822.4
102,54020219,2082.15,2846.25
103,93980461,2597.36,1539.64
104,PJ14F10B0600,387.87,537.73
105,TUE00057,435.3,1082.33
106,TUE00331,97.52,1897.88
107,BT00005,167.3,2462.2
108,RC00024,104.4,430.69
109,TUE00332,673.13,1718.56
110,TUA00124,647.84,924.61
111,TUE00063,1744.19,7757.81
112,TUE00129,898.7,3263.0
113,TUE00008,406.61,1711.39
114,TUA00401,281.94,968.06
115,CAS00066,268.86,2199.14
116,BB00077,75.53,944.47
117,TUS00052,13.38,184.12
118,TU5/16X230MM,226.23,773.77
119,TJ00087,520.79,1180.01
120,TJ00088,274.16,696.84
121,BB1 1/2X1/2-300W,220.0,165.0
122,CBS00002,492.92,3399.32
123,TUS00052,13.38,184.12
124,TUA00407,174.76,696.74
125,TP0005,318.0,807.87
126,65014-38,493.89,1706.11
127,CS12G1040A00,90.18,475.22
128,MA00001,627.33,779.23
129,TUA00412,587.54,3365.46
130,TUA00414,747.79,2566.97
131,CS12J1075A00,397.28,2233.04
132,TUE00329,130.78,994.22
133,TUE00330,134.36,990.64
134,TUA00143,2842.01,10859.02
135,BB2X2ST,220.0,242.0
136,TUA00405,395.14,2270.16
137,TUA00406,141.65,1437.95
138,CBS00001,6315.25,15286.91
139,BN00112,603.18,1531.22
140,RPISTOLA01,967.82,6232.18
141,TUA00408,1599.82,4033.13
142,P231B1AF0500,2239.95,4564.05
143,TUE00334,329.11,3469.25
144,TUA00400,336.79,1708.21
145,TUA00415,1255.77,10324.2
146,TEA00004,665.36,388.64
147,TUA00082,2276.4,7319.64
148,TUE00098,236.48,3193.27
149,RC00026,250.49,1455.46
150,ECQ-01444,2373.3,6786.45
151,TUS00002,431.66,1684.84
152,TP0016,444.0,1182.21
153,TP0026,227.19,488.51
154,CBS00099,1539.68,7127.32
155,TK00062,675.84,2409.66
156,TP0005,87.1,220.4
157,CBS00100,595.19,1497.03
158,PK31B1G10000,334.89,565.11
159,BN00055,548.24,5424.76
160,CS38M1050A01,424.72,2611.96
161,CS38N1050A01,601.92,2550.28
162,BL00053,73.84,766.16
163,BN00232,299.62,645.38
164,BP00246,95.16,939.84
165,BP00247,310.77,1678.51
166,BP00248,290.42,1186.38
167,BN00115,150.74,1301.44
168,TUS00052,104.34,1080.66
169,TP0010,106.55,230.38
170,CM12G2075A00,539.13,2870.43
171,RP00177,143.11,2116.32
172,TUS00111,85.71,809.13
173,TUE00148,337.19,1837.41
174,TU5/16X230MM,226.23,692.77
175,TP0002,102.71,187.29
176,PT00057,789.1,2210.9
177,PT00082,2428.6,2822.4
178,TU5/16X203V,2606.27,2152.37
179,TUE00081,863.66,3693.24
180,TP0011,124.0,284.87
181,TUA00280,175.18,961.35
182,RP00178,12.4,849.67
183,BO00053,5346.0,2229.0
184,P7J6C1D1A030,73.06,602.34
185,TEA00092,7400.14,9092.12
186,TEA00093,7142.54,6954.33
187,PK14C1D1G300,280.17,1759.83
188,TT00007,379.5,1246.6
189,TT00008,693.49,1402.51
190,TU5/16X203V240W,225.21,824.79
191,TEA00023,4592.74,8157.26
192,TP0001,77.92,161.74
193,TU5/16X870J127V,227.18,585.82
194,TEA00096,773.91,1294.59
195,TUA00025,1825.52,7282.48
196,TP0015,865.0,2120.3
197,RP00175,29.9,653.35
198,TP0016,222.0,591.1
199,TUS00112,949.4,11485.18
200,TUA00403,757.39,2282.61
201,BB1 1/2X1/2-300W,220.0,165.0
202,BB1 1/2X1/2-300W,253.0,182.0
203,TP0025,98.63,108.27
204,TUE00146,9156.17,43043.83
205,BE00011,75.32,1485.18
206,BE00012,89.08,1509.16
207,BE00013,96.18,1547.6
208,BE00015,102.18,1576.68
209,BN00243,282.98,1519.26
210,BN00244,402.41,1581.59
211,BN00245,377.7,1840.74
212,BN00246,594.4,1629.6
213,BP00249,211.19,4864.51
214,PJ140FD1A000,109.64,665.26
215,TUE00179,374.62,2973.38
216,RC00025,732.84,1187.16
217,CS58H1060A00,225.59,1154.25
218,CS58H1060A00,225.59,1154.25
219,TU5/16X870J127V,227.18,585.82
220,CBS00101,1281.35,8318.65
221,TUA00427,2214.39,16415.61
222,TEA00006,1019.92,2530.08
223,TEE00017,2409.43,2027.11
224,CS12J2025A00,74.08,576.24
225,TUE00207,1179.22,435.78
226,TUE00207,1179.22,435.78
227,TUE00207,1179.22,435.78
228,TUE00207,1179.22,435.78
229,TUE00207,1179.22,435.78
230,TUE00332,676.56,519.44
231,TP0009,320.27,569.73
232,TP0010,213.1,393.8
233,TP0040,274.96,463.54
234,TEA00006,595.24,1179.76
235,CBS00056,500.47,2226.53
236,70001694,1276.19,2793.81
237,70001698,962.29,2941.71
238,70001692,795.85,3005.15
239,70001690,1288.78,2783.22
240,70001684,395.14,3699.86
241,P214F1AB0600,1839.19,2220.81
242,CS12F1040A00,355.8,1893.48
243,TUE00339,7342.41,-6217.41
244,BP00206,881.41,2088.59
245,ECQ-00972,10182.84,34076.16
246,TUE00075,117.15,2383.65
247,CS12G1040A00,180.83,949.97
248,TUS00113,139.11,858.43
249,TUE00176,470.09,2038.61
250,PJ14F1L1A800,747.38,1309.32
251,TUE00132,559.98,705.22
252,TUS00005,535.46,1861.84
253,TUE00338,139.69,1016.81
254,TUE00337,520.33,2456.42
255,TUS00029,144.69,931.41
256,BB00017,208.27,1289.89
257,BB00018,688.35,911.15
258,BN00002,375.4,1079.85
259,BN00003,415.77,983.02
260,BL00038,1203.29,1740.71
261,PJ31Q1G3A100,710.93,485.62
262,TUA00426,1349.52,2340.12
263,PK14G1D1G300,175.18,1864.82
264,TUE00075,175.24,2325.56
265,TUE00198,135.61,1740.25
266,BC00026,688.31,1836.19
267,TUE00307,946.71,3173.29
